segment,trend,occurrenceCount,sameTrendCount,PACC
Start-a,Up,1,1,100.0
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-e,Up,25,25,100.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-h,Up,9,9,100.0
h-e,Up,2,2,100.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-b,Down,7,7,100.0
b-h,Up,2,2,100.0
h-h,Up,1,1,100.0
h-a,Up,9,1,11.11111111111111
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-e,Up,25,25,100.0
e-a,Up,46,4,8.695652173913043
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-b,Down,7,7,100.0
b-a,Down,9,9,100.0
a-a,Down,70,59,84.28571428571429
a-a,Up,70,9,12.857142857142856
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-h,Up,9,9,100.0
h-e,Up,2,2,100.0
e-e,Up,25,25,100.0
e-a,Up,46,4,8.695652173913043
a-a,Down,70,59,84.28571428571429
a-a,Up,70,9,12.857142857142856
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-e,Up,50,46,92.0
e-e,Up,25,25,100.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-e,Up,25,25,100.0
e-e,Up,25,25,100.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-e,Down,50,4,8.0
e-e,Up,25,25,100.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-e,Up,50,46,92.0
e-e,Up,25,25,100.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-e,Down,50,4,8.0
e-a,Down,46,41,89.13043478260869
a-a,Up,70,9,12.857142857142856
a-a,Up,70,9,12.857142857142856
a-e,Up,50,46,92.0
e-b,Down,9,9,100.0
b-a,Down,9,9,100.0
a-e,Up,50,46,92.0
e-b,Down,9,9,100.0
b-e,Up,6,6,100.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-h,Up,9,9,100.0
h-a,Down,9,8,88.88888888888889
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-h,Up,9,9,100.0
h-b,Down,1,1,100.0
b-a,Down,9,9,100.0
a-e,Up,50,46,92.0
e-a,Up,46,4,8.695652173913043
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-e,Up,25,25,100.0
e-a,Down,46,41,89.13043478260869
a-b,Down,7,7,100.0
b-a,Down,9,9,100.0
a-e,Up,50,46,92.0
e-e,Up,25,25,100.0
e-e,Up,25,25,100.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-e,Up,50,46,92.0
e-b,Down,9,9,100.0
b-e,Up,6,6,100.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-a,Up,70,9,12.857142857142856
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-c,Equal,2,2,100.0
c-a,Down,2,2,100.0
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-a,Equal,70,2,2.857142857142857
a-a,Down,70,59,84.28571428571429
a-c,Equal,2,2,100.0
c-a,Down,2,2,100.0
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-b,Down,7,7,100.0
b-a,Down,9,9,100.0
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-h,Up,9,9,100.0
h-a,Down,9,8,88.88888888888889
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-e,Down,50,4,8.0
e-h,Up,1,1,100.0
h-a,Down,9,8,88.88888888888889
a-e,Up,50,46,92.0
e-e,Up,25,25,100.0
e-a,Equal,46,1,2.1739130434782608
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-e,Up,50,46,92.0
e-e,Up,25,25,100.0
e-e,Up,25,25,100.0
e-b,Down,9,9,100.0
b-e,Up,6,6,100.0
e-b,Down,9,9,100.0
b-a,Down,9,9,100.0
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-a,Equal,70,2,2.857142857142857
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-d,Down,1,1,100.0
d-a,Down,1,1,100.0
a-e,Up,50,46,92.0
e-b,Down,9,9,100.0
b-e,Up,6,6,100.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-a,Up,70,9,12.857142857142856
a-e,Up,50,46,92.0
e-e,Up,25,25,100.0
e-e,Up,25,25,100.0
e-a,Down,46,41,89.13043478260869
a-e,Up,50,46,92.0
e-e,Up,25,25,100.0
e-b,Down,9,9,100.0
b-a,Down,9,9,100.0
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-a,Up,70,9,12.857142857142856
a-b,Down,7,7,100.0
b-a,Down,9,9,100.0
a-a,Down,70,59,84.28571428571429
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-h,Up,9,9,100.0
h-a,Down,9,8,88.88888888888889
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-h,Up,9,9,100.0
h-a,Down,9,8,88.88888888888889
a-e,Up,50,46,92.0
e-b,Down,9,9,100.0
b-e,Up,6,6,100.0
e-e,Up,25,25,100.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-e,Down,50,4,8.0
e-e,Up,25,25,100.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-b,Down,7,7,100.0
b-e,Up,6,6,100.0
e-e,Up,25,25,100.0
e-b,Down,9,9,100.0
b-h,Up,2,2,100.0
h-a,Down,9,8,88.88888888888889
a-e,Up,50,46,92.0
e-e,Up,25,25,100.0
e-a,Down,46,41,89.13043478260869
a-h,Up,9,9,100.0
h-a,Down,9,8,88.88888888888889
a-e,Up,50,46,92.0
e-e,Up,25,25,100.0
e-e,Up,25,25,100.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-a,Up,70,9,12.857142857142856
a-h,Up,9,9,100.0
h-a,Down,9,8,88.88888888888889
a-e,Up,50,46,92.0
e-a,Up,46,4,8.695652173913043
a-e,Up,50,46,92.0
e-e,Up,25,25,100.0
e-a,Down,46,41,89.13043478260869
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-b,Down,7,7,100.0
b-a,Down,9,9,100.0
a-f,Up,1,1,100.0
f-a,Down,1,1,100.0
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-a,Down,70,59,84.28571428571429
a-e,Up,50,46,92.0
e-e,Up,25,25,100.0
e-a,Down,46,41,89.13043478260869
a-e,Up,50,46,92.0
e-a,Down,46,41,89.13043478260869
a-e,Up,50,46,92.0
