date,op,hp,lp,cp
22.05.2024,44.10,44.68,43.53,43.92
21.05.2024,43.00,44.45,42.25,44.16
20.05.2024,44.25,44.47,42.80,43.00
17.05.2024,43.10,45.93,42.61,44.20
16.05.2024,44.60,44.72,42.90,43.26
15.05.2024,43.40,45.18,43.15,44.52
14.05.2024,42.50,43.15,42.12,42.80
13.05.2024,42.60,42.74,42.07,42.41
10.05.2024,42.91,43.43,42.36,42.50
08.05.2024,42.26,43.00,42.08,42.85
07.05.2024,42.35,42.55,42.01,42.26
06.05.2024,42.51,42.90,42.02,42.30
03.05.2024,42.45,42.79,41.56,42.79
02.05.2024,43.43,43.58,42.21,42.45
30.04.2024,43.89,43.89,43.13,43.53
29.04.2024,43.84,43.95,43.35,43.82
27.04.2024,43.37,44.00,43.11,43.84
26.04.2024,43.40,43.85,43.02,43.36
25.04.2024,42.31,43.39,42.00,43.38
24.04.2024,42.00,42.58,41.59,42.31
23.04.2024,42.16,42.90,41.75,41.89
22.04.2024,41.16,42.10,40.73,41.59
19.04.2024,41.20,41.32,40.65,41.16
18.04.2024,40.69,41.65,40.69,41.36
17.04.2024,40.75,41.19,39.92,40.66
16.04.2024,41.50,41.84,40.18,40.49
15.04.2024,42.00,43.18,41.10,41.92
12.04.2024,41.70,42.79,41.65,42.50
11.04.2024,41.17,41.84,40.81,41.56
10.04.2024,39.30,41.31,39.06,41.06
09.04.2024,39.33,40.23,38.22,39.03
08.04.2024,38.20,39.73,38.20,39.19
05.04.2024,38.40,38.83,37.56,38.23
04.04.2024,37.06,39.42,36.44,38.50
03.04.2024,34.44,37.28,34.35,37.20
02.04.2024,34.44,34.50,33.90,34.33
01.04.2024,34.02,34.69,34.02,34.35
29.03.2024,34.40,34.40,33.92,33.98
28.03.2024,33.36,34.44,33.20,34.28
27.03.2024,33.30,33.47,33.01,33.33
26.03.2024,33.49,33.49,33.24,33.30
25.03.2024,33.52,33.80,33.23,33.50
22.03.2024,34.00,34.25,33.23,33.54
21.03.2024,33.90,34.11,33.55,34.01
20.03.2024,34.05,34.33,33.85,33.99
19.03.2024,34.72,34.84,34.00,34.08
18.03.2024,34.74,35.08,34.71,34.77
15.03.2024,34.01,34.94,33.71,34.74
14.03.2024,34.95,35.30,34.79,34.94
13.03.2024,35.13,35.22,34.91,34.95
12.03.2024,34.62,35.15,34.29,35.11
11.03.2024,34.53,34.79,34.48,34.56
07.03.2024,34.75,34.75,34.25,34.51
06.03.2024,34.58,34.79,34.25,34.61
05.03.2024,34.77,34.85,34.37,34.55
04.03.2024,34.56,35.37,34.56,34.77
01.03.2024,34.80,34.98,34.46,34.55
29.02.2024,34.32,35.29,34.10,34.81
28.02.2024,34.28,34.55,34.17,34.22
27.02.2024,34.50,34.60,34.03,34.28
26.02.2024,34.02,35.01,34.02,34.50
22.02.2024,34.27,34.50,33.86,34.01
21.02.2024,33.90,34.58,33.80,34.27
20.02.2024,34.52,34.85,33.80,33.91
19.02.2024,34.79,34.96,34.32,34.52
16.02.2024,35.29,35.34,34.71,34.78
15.02.2024,35.43,35.43,35.00,35.12
14.02.2024,35.36,35.63,35.31,35.34
13.02.2024,35.48,35.80,35.05,35.31
12.02.2024,35.50,35.65,35.12,35.36
09.02.2024,35.54,35.78,35.32,35.49
08.02.2024,36.25,36.34,35.35,35.51
07.02.2024,36.56,36.56,36.07,36.23
06.02.2024,36.07,36.88,35.75,36.52
05.02.2024,35.50,36.07,35.39,36.02
02.02.2024,35.52,35.56,35.22,35.34
01.02.2024,35.29,35.67,35.18,35.43
31.01.2024,35.18,35.48,35.00,35.29
30.01.2024,34.76,35.27,34.75,35.07
29.01.2024,34.89,34.95,34.65,34.76
26.01.2024,34.90,35.03,34.61,34.65
25.01.2024,34.94,35.20,34.71,34.80
24.01.2024,34.84,34.94,34.22,34.91
23.01.2024,35.27,35.27,34.73,34.84
22.01.2024,35.07,35.32,34.86,35.20
19.01.2024,35.39,35.44,35.01,35.11
18.01.2024,35.56,35.99,35.30,35.30
17.01.2024,35.33,35.48,35.26,35.45
16.01.2024,35.70,35.76,35.16,35.33
15.01.2024,35.90,36.09,35.34,35.70
12.01.2024,35.84,36.40,35.58,35.70
11.01.2024,34.88,36.06,34.62,35.78
10.01.2024,35.06,35.10,34.76,34.83
09.01.2024,35.25,35.25,34.60,34.96
08.01.2024,35.00,35.25,34.90,35.12
05.01.2024,35.24,35.24,34.82,34.91
04.01.2024,34.70,35.35,34.63,35.10
03.01.2024,34.30,34.75,34.13,34.71
29.12.2023,33.87,34.34,33.73,34.02
28.12.2023,34.23,34.45,33.70,33.72
27.12.2023,34.10,34.67,33.96,34.21
26.12.2023,34.20,34.35,33.88,34.09
25.12.2023,34.86,34.91,34.00,34.23
22.12.2023,34.96,35.06,34.55,34.72
21.12.2023,35.11,35.21,34.51,34.86
20.12.2023,35.35,35.50,35.15,35.19
19.12.2023,35.42,35.54,35.14,35.35
18.12.2023,35.30,35.64,35.03,35.35
15.12.2023,34.55,35.47,34.50,35.31
14.12.2023,35.10,35.48,34.57,34.66
13.12.2023,34.49,35.22,34.49,35.17
12.12.2023,34.64,35.16,34.48,34.69
11.12.2023,35.70,35.84,34.71,34.73
08.12.2023,36.10,36.18,35.60,35.75
07.12.2023,35.58,36.15,35.34,36.00
06.12.2023,36.42,36.64,35.18,35.58
05.12.2023,35.90,36.55,35.90,36.40
04.12.2023,36.90,37.29,35.61,35.81
01.12.2023,36.65,37.09,36.58,36.76
30.11.2023,37.29,37.39,36.52,36.65
29.11.2023,37.88,38.34,37.03,37.29
28.11.2023,37.75,38.05,36.92,37.85
27.11.2023,38.09,38.10,37.60,37.73
24.11.2023,38.18,38.58,37.86,37.98
23.11.2023,38.80,38.80,38.29,38.30
22.11.2023,38.88,39.05,38.55,38.63
21.11.2023,38.99,39.00,38.80,38.92
20.11.2023,39.04,39.16,38.81,39.00
17.11.2023,39.04,39.30,38.69,39.04
16.11.2023,39.34,39.43,38.97,39.04
15.11.2023,39.34,39.43,38.84,39.28
14.11.2023,39.42,39.58,38.66,39.28
13.11.2023,39.75,39.99,39.41,39.47
10.11.2023,40.12,40.42,39.26,39.75
09.11.2023,40.06,40.28,39.75,40.06
08.11.2023,40.25,40.40,39.96,40.06
07.11.2023,40.02,40.40,39.80,40.25
06.11.2023,40.37,40.46,39.75,40.02
03.11.2023,39.34,40.59,39.06,40.23
02.11.2023,39.44,39.85,39.03,39.33
01.11.2023,39.34,39.67,39.30,39.42
31.10.2023,39.74,39.85,39.22,39.34
30.10.2023,40.07,40.28,39.62,39.74
27.10.2023,39.87,40.20,39.38,40.00
26.10.2023,40.24,40.50,39.85,39.87
25.10.2023,40.80,40.86,40.12,40.28
24.10.2023,40.90,40.97,40.55,40.67
23.10.2023,40.70,40.88,40.31,40.54
20.10.2023,39.92,41.12,39.82,40.69
19.10.2023,40.00,40.16,39.72,39.92
18.10.2023,40.15,40.42,39.89,40.00
17.10.2023,40.50,40.61,40.03,40.20
16.10.2023,39.61,40.64,39.56,40.42
13.10.2023,39.89,39.89,39.50,39.61
12.10.2023,39.61,39.88,39.45,39.71
11.10.2023,40.30,40.57,39.54,39.64
10.10.2023,40.07,40.74,40.00,40.46
09.10.2023,40.15,40.44,40.00,40.07
06.10.2023,40.11,40.20,39.84,40.08
05.10.2023,40.10,40.17,39.80,40.09
04.10.2023,40.54,40.68,40.01,40.10
03.10.2023,40.55,40.92,39.91,40.54
02.10.2023,41.68,41.97,40.35,40.57
29.09.2023,41.01,41.70,40.71,41.29
28.09.2023,40.11,41.36,39.97,41.01
27.09.2023,39.98,40.58,39.60,40.11
26.09.2023,40.07,40.10,39.13,39.70
25.09.2023,40.74,40.74,40.00,40.08
22.09.2023,41.40,41.48,40.30,40.69
21.09.2023,40.80,42.10,40.20,41.50
20.09.2023,40.76,41.62,40.32,40.92
19.09.2023,42.50,42.51,40.69,40.90
18.09.2023,42.78,43.35,42.41,42.53
15.09.2023,42.40,42.69,41.91,42.50
14.09.2023,42.46,42.59,41.63,42.18
13.09.2023,43.00,43.00,42.25,42.46
12.09.2023,42.13,43.20,42.13,42.90
11.09.2023,42.25,42.60,41.75,42.03
08.09.2023,42.53,42.85,41.41,42.26
07.09.2023,43.10,44.10,42.16,42.53
06.09.2023,43.21,43.34,42.51,42.94
05.09.2023,44.05,44.09,43.21,43.42
04.09.2023,42.00,44.16,42.00,44.05
01.09.2023,42.15,42.20,41.74,41.93
31.08.2023,41.35,42.10,41.31,42.00
30.08.2023,41.60,41.67,41.00,41.31
29.08.2023,41.80,41.92,41.25,41.50
28.08.2023,41.19,41.94,41.16,41.80
25.08.2023,41.39,41.39,40.92,41.16
24.08.2023,40.98,41.38,40.85,41.28
23.08.2023,42.01,42.09,40.85,40.92
22.08.2023,42.34,42.34,41.70,42.01
21.08.2023,41.78,42.45,41.50,42.19
18.08.2023,41.30,41.36,40.70,41.22
17.08.2023,41.20,41.73,40.61,41.18
16.08.2023,42.56,42.88,40.60,41.15
15.08.2023,42.26,43.43,41.97,42.54
14.08.2023,43.25,44.80,42.56,42.85
11.08.2023,43.10,43.34,42.65,43.05
10.08.2023,43.00,43.50,42.91,43.40
09.08.2023,42.85,43.37,42.62,43.15
08.08.2023,43.00,43.07,42.08,42.85
07.08.2023,42.99,43.74,42.50,43.14
04.08.2023,44.10,44.90,42.09,42.77
03.08.2023,44.00,44.12,43.50,44.02
02.08.2023,44.03,44.49,43.80,43.95
01.08.2023,44.50,44.85,43.46,44.07
31.07.2023,43.20,44.23,43.15,44.18
28.07.2023,42.94,43.35,42.68,42.98
27.07.2023,43.20,43.60,42.57,43.02
26.07.2023,43.47,43.60,42.60,43.12
25.07.2023,43.29,43.78,42.91,43.40
24.07.2023,41.87,43.55,41.55,43.21
21.07.2023,41.49,41.80,41.11,41.55
20.07.2023,42.46,42.49,41.41,41.49
19.07.2023,42.70,42.88,41.92,42.38
18.07.2023,42.90,43.05,42.40,42.68
17.07.2023,41.97,42.90,41.88,42.86
14.07.2023,41.27,42.20,41.00,41.97
13.07.2023,41.68,41.69,40.97,41.16
12.07.2023,41.10,41.70,41.00,41.50
11.07.2023,41.34,41.40,40.61,41.01
10.07.2023,41.41,41.60,41.15,41.35
07.07.2023,41.51,41.73,41.00,41.15
06.07.2023,41.46,41.99,40.81,41.40
05.07.2023,40.16,41.43,40.08,41.28
04.07.2023,39.69,40.35,39.42,40.00
03.07.2023,39.25,39.91,39.25,39.63
30.06.2023,39.40,39.45,39.00,39.23
29.06.2023,39.60,39.69,39.10,39.32
28.06.2023,39.27,39.95,39.09,39.49
27.06.2023,39.10,39.34,38.47,39.09
26.06.2023,39.20,39.50,38.40,38.92
23.06.2023,39.71,39.83,38.82,39.08
22.06.2023,40.55,40.55,39.76,39.90
21.06.2023,40.73,40.85,40.30,40.49
20.06.2023,40.83,40.98,40.13,40.51
19.06.2023,40.72,40.89,40.12,40.71
16.06.2023,39.98,40.99,39.68,40.59
15.06.2023,38.73,39.87,38.60,39.86
14.06.2023,38.90,38.98,38.40,38.61
13.06.2023,38.83,38.97,38.51,38.82
09.06.2023,38.47,38.83,38.47,38.55
08.06.2023,38.29,38.69,38.29,38.54
07.06.2023,38.87,38.87,38.26,38.37
06.06.2023,38.77,39.24,38.14,38.70
05.06.2023,39.62,40.18,38.32,39.16
02.06.2023,39.36,39.57,39.15,39.49
01.06.2023,39.02,39.59,39.02,39.28
31.05.2023,39.27,39.31,38.82,39.10
30.05.2023,39.45,39.69,38.12,39.29
29.05.2023,39.50,39.83,39.25,39.64
26.05.2023,39.05,39.48,39.01,39.31
25.05.2023,39.70,39.88,38.81,39.17
24.05.2023,40.16,40.34,39.50,39.73
23.05.2023,40.12,40.60,39.45,40.09
22.05.2023,40.21,40.63,39.90,40.03